City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,sorong,ID,-0.8833,131.25,79.95,83,100,7.23,overcast clouds
250,moroni,KM,-11.7022,43.2551,74.75,79,26,9.95,scattered clouds
251,nikolayevsk-na-amure,RU,53.1406,140.73,76.53,36,29,1.25,scattered clouds
252,comodoro rivadavia,AR,-45.8667,-67.5,53.46,30,0,10.36,clear sky
253,fairbanks,US,64.8378,-147.7164,68.09,46,0,3.44,haze
254,orange walk,BZ,17.8333,-88.8333,80.83,76,57,7.25,broken clouds
255,tuy hoa,VN,13.0833,109.3,79.57,80,95,5.68,overcast clouds
256,saldanha,ZA,-33.0117,17.9442,59.29,91,100,15.88,light rain
257,provideniya,RU,64.3833,-173.3,41.05,61,93,2.17,overcast clouds
258,san juan,AR,-31.5375,-68.5364,54.46,40,1,3.29,clear sky
259,camopi,GF,3.1655,-52.3158,72.01,99,50,2.06,scattered clouds
260,zaraza,VE,9.3503,-65.3245,72.95,96,96,6.02,overcast clouds
261,bonita springs,US,26.3398,-81.7787,87.03,70,89,7.16,overcast clouds
262,arona,ES,28.0996,-16.681,67.82,82,75,5.75,broken clouds
263,merauke,ID,-8.4667,140.3333,81.5,78,98,14.29,overcast clouds
264,ucluelet,CA,48.9329,-125.5528,61.09,79,23,3.0,few clouds
265,sambava,MG,-14.2667,50.1667,68.95,82,2,9.93,clear sky
266,utevka,RU,52.9035,50.9495,48.31,91,26,5.5,scattered clouds
267,agua dulce,MX,18.1333,-94.1333,80.38,73,52,8.55,broken clouds
268,bellavista,PE,-7.0561,-76.5911,69.04,76,44,0.76,scattered clouds
269,khatanga,RU,71.9667,102.5,63.61,38,100,11.59,overcast clouds
270,yamachiche,CA,46.2668,-72.8324,71.65,75,100,11.5,overcast clouds
271,aksarka,RU,66.5606,67.7975,40.35,77,100,25.05,overcast clouds
272,otane,NZ,-39.8833,176.6333,53.01,66,36,15.7,scattered clouds
273,balkhash,KZ,46.844,74.9804,70.2,50,100,7.52,overcast clouds
274,sao filipe,CV,14.8961,-24.4956,73.26,85,8,1.48,clear sky
275,esperance,AU,-33.8667,121.9,57.99,65,16,31.34,few clouds
276,horsham,GB,51.064,-0.3272,57.25,78,0,6.91,clear sky
277,picota,PE,-6.9197,-76.3304,75.69,75,41,2.89,scattered clouds
278,sulya,IN,12.5667,75.3833,73.81,94,97,1.86,overcast clouds
279,lorengau,PG,-2.0226,147.2712,83.71,73,68,10.89,broken clouds
280,mata,PT,40.683,-7.4592,72.61,66,0,2.91,clear sky
281,axim,GH,4.8699,-2.2405,76.68,80,90,5.95,overcast clouds
282,bubaque,GW,11.2833,-15.8333,80.71,80,78,10.49,broken clouds
283,carauari,BR,-4.8828,-66.8958,69.01,85,100,2.13,overcast clouds
284,terrace,CA,54.5163,-128.6035,58.91,58,75,9.22,light intensity shower rain
285,hasaki,JP,35.7333,140.8333,68.4,58,95,7.87,overcast clouds
286,borogontsy,RU,62.6683,131.1683,58.89,60,11,7.14,few clouds
287,guilin,CN,25.2819,110.2864,73.51,99,100,2.66,moderate rain
288,geraldton,AU,-28.7667,114.6,55.81,82,72,2.3,broken clouds
289,cherskiy,RU,68.75,161.3,67.69,30,29,1.05,scattered clouds
290,thunder bay,CA,48.4001,-89.3168,64.38,48,75,10.36,broken clouds
291,itaberai,BR,-16.0203,-49.8103,67.57,60,100,6.82,overcast clouds
292,vardo,NO,70.3705,31.1107,44.58,70,68,10.36,broken clouds
293,pingzhuang,CN,42.0372,119.2889,67.75,56,92,8.12,overcast clouds
294,yar-sale,RU,66.8333,70.8333,43.57,79,100,23.8,overcast clouds
295,wasilla,US,61.5814,-149.4394,69.3,49,0,9.22,smoke
296,lar,IN,26.2039,83.9717,87.04,66,24,10.69,few clouds
297,vostok,RU,46.4856,135.8833,66.67,43,6,1.39,clear sky
