City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Port Hedland,AU,2022-06-07 20:19:54,-20.3167,118.5667,60.85,63,1,6.91
184,Atascocita,US,2022-06-07 20:19:54,29.9988,-95.1766,99.36,56,20,13.8
185,Mujiayingzi,CN,2022-06-07 20:19:55,42.1167,118.7833,51.46,89,100,3.13
186,Coahuayana,MX,2022-06-07 20:19:55,18.7333,-103.6833,89.08,54,37,8.19
187,Korsakov,RU,2022-06-07 20:19:55,46.6328,142.7813,39.04,82,52,5.21
188,Vallenar,CL,2022-06-07 20:17:11,-28.5708,-70.7581,78.67,20,3,5.86
189,Kirovohrad,UA,2022-06-07 20:19:56,48.5132,32.2597,62.78,75,53,8.1
190,Kathmandu,NP,2022-06-07 20:19:56,27.7167,85.3167,71.82,94,75,2.3
191,Naze,JP,2022-06-07 20:19:57,28.3667,129.4833,67.12,83,100,4.23
192,Sokone,SN,2022-06-07 20:19:57,13.8833,-16.3667,79.0,68,93,12.64
193,Klaksvik,FO,2022-06-07 20:19:57,62.2266,-6.589,47.32,73,100,17.18
194,Avarua,CK,2022-06-07 20:19:58,-21.2078,-159.775,78.85,73,40,10.36
195,Tecolutla,MX,2022-06-07 20:19:58,20.4833,-97.0167,96.66,61,16,17.6
196,Saint-Philippe,RE,2022-06-07 20:19:58,-21.3585,55.7679,71.19,84,57,9.73
197,Umarkot,PK,2022-06-07 20:19:59,25.3616,69.7362,83.14,62,0,20.85
198,Auki,SB,2022-06-07 20:15:17,-8.7676,160.7034,76.86,88,71,4.7
199,Chapais,CA,2022-06-07 20:19:59,49.7834,-74.8492,55.18,93,100,10.69
200,Saint Anthony,US,2022-06-07 20:19:59,45.0205,-93.218,72.01,46,100,6.91
201,Mokhsogollokh,RU,2022-06-07 20:20:00,61.4681,128.9203,58.28,93,100,4.18
202,Gombong,ID,2022-06-07 20:17:09,-7.6072,109.5142,75.97,92,96,2.68
203,Zaraza,VE,2022-06-07 20:20:00,9.3503,-65.3245,87.33,54,70,9.69
