City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
181,509,najran,SA,81.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
182,513,morgan city,US,89.01,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
183,517,bom jesus,BR,76.08,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
184,520,gashua,NG,89.11,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
185,523,sinnamary,GF,78.15,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
186,524,ugoofaaru,MV,83.01,overcast clouds,5.6667,73.0,Ungoofaaru Inn
188,527,oussouye,SN,78.4,scattered clouds,12.485,-16.5469,Auberge du Routard
189,528,oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
190,530,san anselmo,US,77.14,clear sky,37.9747,-122.5616,Four Points by Sheraton San Rafael Marin County
191,533,pombia,IT,73.22,clear sky,45.653,8.6336,Albergo Fontana
192,535,chake chake,TZ,75.31,scattered clouds,-5.2459,39.7666,Hotel Archipelago
193,541,tanah merah,MY,78.62,overcast clouds,5.8,102.15,Humaira Hotel
194,550,khatra,IN,86.47,broken clouds,22.9833,86.85,Aranyak Resort Mukutmanipur
195,555,ewa beach,US,85.98,scattered clouds,21.3156,-158.0072,Base Lodging
196,557,xiamen,CN,77.25,mist,24.4798,118.0819,Xiamen Dongchen Hotel
197,558,bud,US,82.42,broken clouds,39.447,-86.1758,Ted McQuinn Trust
198,560,auki,SB,85.05,few clouds,-8.7676,160.7034,Auki Motel
199,566,dhidhdhoo,MV,82.87,overcast clouds,6.8833,73.1,Dhidhoo beach
200,567,cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
201,568,marrakesh,MA,84.27,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
202,570,hobyo,SO,78.44,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
203,580,valley city,US,79.32,clear sky,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
204,581,alugan,PH,83.08,overcast clouds,12.2188,125.4808,JM Lodge
205,582,sibolga,ID,75.58,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
206,587,alappuzha,IN,79.2,overcast clouds,9.49,76.3264,Panoramic Sea Resort
207,589,bobo dioulasso,BF,73.85,few clouds,11.1771,-4.2979,IBA Hotel
208,593,langsa,ID,73.51,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
211,596,pacific grove,US,74.39,overcast clouds,36.6177,-121.9166,Lovers Point Inn
212,597,rafsanjan,IR,81.05,scattered clouds,30.4067,55.9939,Rafsanjan Tourism Hotel
213,601,clarksburg,US,79.25,overcast clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
214,602,bandarban,BD,78.12,broken clouds,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
215,604,alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
216,605,trairi,BR,75.96,broken clouds,-3.2778,-39.2689,janelas do mar
218,610,puerto colombia,CO,77.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
219,612,tabou,CI,77.49,overcast clouds,4.423,-7.3528,hotêl doufoulougou
220,613,hojai,IN,76.84,broken clouds,26.0,92.8667,Luxury park hotel
221,614,mogadishu,SO,78.48,light rain,2.0371,45.3438,Hotel Juba
223,617,saint-paul,RE,73.36,scattered clouds,-21.0096,55.2707,Boucan Canot
225,623,le port,RE,73.26,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
226,624,kiunga,PG,76.44,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
227,625,parrita,CR,74.79,overcast clouds,9.5201,-84.3225,Beso del Viento
228,627,labuhan,ID,78.93,overcast clouds,-6.8844,112.2051,DoubleFAG
230,636,nikki,BJ,76.39,scattered clouds,9.9401,3.2108,Monnon
231,639,maceio,BR,74.64,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
233,644,male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
234,647,soller,ES,75.85,few clouds,39.7662,2.7152,Hotel Marina & Wellness Spa
235,649,kalianget,ID,82.2,broken clouds,-7.05,113.9333,Pesanggrahan Garam
236,653,natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
237,657,sokoni,TZ,77.83,light rain,-6.4333,39.55,Ujamaa Beach Resort
239,661,sur,OM,81.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
241,665,lebanon,US,89.65,overcast clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
242,668,neiafu,TO,83.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
243,679,samarinda,ID,76.35,light rain,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
244,681,east liverpool,US,77.2,broken clouds,40.6187,-80.5773,"Holiday Inn Express Newell-Chester WV, an IHG Hotel"
245,683,hienghene,NC,76.32,overcast clouds,-20.6833,164.9333,Ka Waboana Lodge
246,688,kassala,SD,89.8,few clouds,15.451,36.4,Amassi Hotel Gash
247,692,isla mujeres,MX,86.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
248,694,el cobre,CU,78.04,broken clouds,20.0489,-75.9469,Hotel El Cobre
249,695,pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
250,700,pulivendla,IN,81.46,light rain,14.4167,78.2333,Kothabalaji
251,705,majene,ID,77.41,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
